Country,Date,search_interest,raw_incidence_rate
Trinidad and Tobago,8/18,100,10.92
Puerto Rico,8/18,60,290.41
Guadeloupe,8/18,52,5711.04
Jamaica,8/18,45,162.08
Nicaragua,8/18,30,22.21
Honduras,8/18,23,367.36
Guatemala,8/18,19,15.29
United States,8/18,16,0
Costa Rica,8/18,14,33.6
Canada,8/18,10,0
Dominican Republic,8/18,10,49.84
Mexico,8/18,10,1.26
Venezuela,8/18,5,178.25
Brazil,8/18,4,120.45
Colombia,8/18,3,208.96
Ecuador,8/18,3,16.47
Peru,8/18,2,0.3
Chile,8/18,2,0
Argentina,8/18,1,4.03
Aruba,8/18,0,18.42
Anguilla,8/18,0,111.76
Antigua and Barbuda,8/18,0,20.21
Saint Barthelemy,8/18,0,4788.89
Belize,8/18,0,1.36
Bermuda,8/18,0,0
Bolivia,8/18,0,1.16
Barbados,8/18,0,192.44
Cuba,8/18,0,0.03
Cayman Islands,8/18,0,3.51
Dominica,8/18,0,1237.84
Grenada,8/18,0,250.45
French Guiana,8/18,0,3555.43
Guyana,8/18,0,0.78
Haiti,8/18,0,19.63
Saint Kitts and Nevis,8/18,0,0
Saint Lucia,8/18,0,448.78
Saint Martin,8/18,0,5652.78
Montserrat,8/18,0,0
Martinique,8/18,0,8667.17
Panama,8/18,0,39.22
Paraguay,8/18,0,4.24
El Salvador,8/18,0,179.19
Suriname,8/18,0,620.8
Turks and Caicos Islands,8/18,0,3.92
Uruguay,8/18,0,0
Saint Vincent and the Grenadines,8/18,0,190.2
The Bahamas,8/18,0,0.25
Curacao,8/18,0,139.6
British Virgin Islands,8/18,0,0
U.S. Virgin Islands,8/18,0,534.95
Trinidad and Tobago,8/25,99,18.61
Puerto Rico,8/25,59,358.22
Guadeloupe,8/25,0,6039.07
Jamaica,8/25,50,162.08
Nicaragua,8/25,29,25.27
Honduras,8/25,22,370.16
Guatemala,8/25,20,16.82
United States,8/25,21,0
Costa Rica,8/25,12,41.55
Canada,8/25,10,0
Dominican Republic,8/25,9,50.33
Mexico,8/25,14,1.46
Venezuela,8/25,5,183.38
Brazil,8/25,4,120.45
Colombia,8/25,3,209.86
Ecuador,8/25,3,16.83
Peru,8/25,2,0.3
Chile,8/25,2,0
Argentina,8/25,1,4.03
Aruba,8/25,0,18.42
Anguilla,8/25,0,123.53
Antigua and Barbuda,8/25,0,20.21
Saint Barthelemy,8/25,0,6122.22
Belize,8/25,0,1.36
Bermuda,8/25,0,0
Bolivia,8/25,0,1.16
Barbados,8/25,0,194.16
Cuba,8/25,0,0.03
Cayman Islands,8/25,0,5.26
Dominica,8/25,0,1252.7
Grenada,8/25,0,285.59
French Guiana,8/25,0,3602.54
Guyana,8/25,0,0.78
Haiti,8/25,0,27.29
Saint Kitts and Nevis,8/25,0,0
Saint Lucia,8/25,0,448.78
Saint Martin,8/25,0,6041.67
Montserrat,8/25,0,0
Martinique,8/25,0,8831.31
Panama,8/25,0,42.21
Paraguay,8/25,0,4.24
El Salvador,8/25,0,180.05
Suriname,8/25,0,623.91
Turks and Caicos Islands,8/25,0,3.92
Uruguay,8/25,0,0
Saint Vincent and the Grenadines,8/25,0,190.2
The Bahamas,8/25,100,0.76
Curacao,8/25,0,139.6
British Virgin Islands,8/25,0,0
U.S. Virgin Islands,8/25,0,534.95
